,filename,text,tokens,catalog_number,token_count,dictionary_word_count,dict_word_or_stem_count,dict_word_or_stem_ratio
0,BRIT482719_370-symbiota_data_19520246_ocr.txt,"ВОTANICAL
0 1 2 3
4 5 6 7
8 9
RESEARCH
INSTITUTE OF
10
cm
copyright reserved
BRIT, TEXAS
HERBARIUM
Seuthern Mothedist University
DALLAS, TEXAS
BRCH HERBARIUM
Cyperus compressus C. Linnaeus
Det. by: Stanley D. Jones
April 1997
MANUAL OF THE VASCULAR PLANTS OF TEXAS
DETERMINED BY MARSHALL C. JOHNSTON
PLANTS OF TEXAS
HERBARIUM OF SOUTHERN METHODIST UNIVERSITY
Cyperus compressus L.
IMAGED
Newton Co.: 2 miles west of Newton.
30 AUG 2017
Foot of road fill at Big Cow Creek, sandy clay
loam.
BOTANICAL RESEARCH INSTITUTE
OF TEXAS
BRIT482719
26,804
11 November 1957
LLOYD H. SHINNERS
24ColorCard
TM
Camera rax.com
","['ВОTANICAL', '0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'RESEARCH', 'INSTITUTE', 'OF', '10', 'cm', 'copyright', 'reserved', 'BRIT', ',', 'TEXAS', 'HERBARIUM', 'Seuthern', 'Mothedist', 'University', 'DALLAS', ',', 'TEXAS', 'BRCH', 'HERBARIUM', 'Cyperus', 'compressus', 'C.', 'Linnaeus', 'Det', '.', 'by', ':', 'Stanley', 'D.', 'Jones', 'April', '1997', 'MANUAL', 'OF', 'THE', 'VASCULAR', 'PLANTS', 'OF', 'TEXAS', 'DETERMINED', 'BY', 'MARSHALL', 'C.', 'JOHNSTON', 'PLANTS', 'OF', 'TEXAS', 'HERBARIUM', 'OF', 'SOUTHERN', 'METHODIST', 'UNIVERSITY', 'Cyperus', 'compressus', 'L.', 'IMAGED', 'Newton', 'Co.', ':', '2', 'miles', 'west', 'of', 'Newton', '.', '30', 'AUG', '2017', 'Foot', 'of', 'road', 'fill', 'at', 'Big', 'Cow', 'Creek', ',', 'sandy', 'clay', 'loam', '.', 'BOTANICAL', 'RESEARCH', 'INSTITUTE', 'OF', 'TEXAS', 'BRIT482719', '26,804', '11', 'November', '1957', 'LLOYD', 'H.', 'SHINNERS', '24ColorCard', 'TM', 'Camera', 'rax.com']",BRIT482719,109,43,48,0.44036697247706424
1,BRIT366236_370-symbiota_data_26807050_ocr.txt,"BOTANICAL
RESEARCH
INSTITUTE OF
0 1 2
3 4 5 6 7 8 9
10
cm
copyright reserved
BRIT, TEXAS
SMU
No. BG 205
BLACK GAP REFUGE
Trans Pecos Region of Texas
Brewster County
IMAGED
06 FEB 2017
Januaia gracilis Gray
Sparce vine in limestone soil at turn-off to Heath
Canyon. Alt. 2250 feet. August 25, 1950.
BOTANICAL RESEARCH INSTITUTE
OF TEXAS
BRIT366236
Coll. Barton H. Warnock and L. C. Hinckley
TM
Camera Crax.com
","['BOTANICAL', 'RESEARCH', 'INSTITUTE', 'OF', '0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', 'cm', 'copyright', 'reserved', 'BRIT', ',', 'TEXAS', 'SMU', 'No', '.', 'BG', '205', 'BLACK', 'GAP', 'REFUGE', 'Trans', 'Pecos', 'Region', 'of', 'Texas', 'Brewster', 'County', 'IMAGED', '06', 'FEB', '2017', 'Januaia', 'gracilis', 'Gray', 'Sparce', 'vine', 'in', 'limestone', 'soil', 'at', 'turn-off', 'to', 'Heath', 'Canyon', '.', 'Alt', '.', '2250', 'feet', '.', 'August', '25', ',', '1950', '.', 'BOTANICAL', 'RESEARCH', 'INSTITUTE', 'OF', 'TEXAS', 'BRIT366236', 'Coll', '.', 'Barton', 'H.', 'Warnock', 'and', 'L.', 'C.', 'Hinckley', 'TM', 'Camera', 'Crax.com']",BRIT366236,82,35,35,0.4268292682926829
2,BRIT409270_370-symbiota_data_26796417_ocr.txt,"BOTANICAL
RESEARCH
INSTITUTE OF
1 2
3 4 5
7 8 9
10
cm
copyright reserved
BRIT, TEXAS
Botanical Research
insitute of Texas
059
TEXAS TECHNOLOGICAL COLLEGE
AGRONOMY HERBARIUM
Tribe:.
Andropogoneae
Genus and Species: Andropogon virginicus .
IMAGED
Broomsedge bluestem
Common Name:
Location: Johnson County
22 SEP 2017
Site:.
Sandy land 8 mi. E. of Cleburne
BOTANICAL RESEARCH INSTITUTE
OF TEXAS
Associated Plants: Aristida
Collector: Billy F. Caddell
Date: 10-1-58
0000 X00000x00000 00000
Perennial, warm, invading, poor
BRIT409270
24ColorCard
TM
Camera Cráx.com
","['BOTANICAL', 'RESEARCH', 'INSTITUTE', 'OF', '1', '2', '3', '4', '5', '7', '8', '9', '10', 'cm', 'copyright', 'reserved', 'BRIT', ',', 'TEXAS', 'Botanical', 'Research', 'insitute', 'of', 'Texas', '059', 'TEXAS', 'TECHNOLOGICAL', 'COLLEGE', 'AGRONOMY', 'HERBARIUM', 'Tribe', ':', '.', 'Andropogoneae', 'Genus', 'and', 'Species', ':', 'Andropogon', 'virginicus', '.', 'IMAGED', 'Broomsedge', 'bluestem', 'Common', 'Name', ':', 'Location', ':', 'Johnson', 'County', '22', 'SEP', '2017', 'Site', ':', '.', 'Sandy', 'land', '8', 'mi', '.', 'E.', 'of', 'Cleburne', 'BOTANICAL', 'RESEARCH', 'INSTITUTE', 'OF', 'TEXAS', 'Associated', 'Plants', ':', 'Aristida', 'Collector', ':', 'Billy', 'F.', 'Caddell', 'Date', ':', '10-1-58', '0000', 'X00000x00000', '00000', 'Perennial', ',', 'warm', ',', 'invading', ',', 'poor', 'BRIT409270', '24ColorCard', 'TM', 'Camera', 'Cráx.com']",BRIT409270,97,40,41,0.422680412371134
3,BRIT374594_370-symbiota_data_26807438_ocr.txt,"ВОТANICAL
RESEARCH
INSTITUTE OF
0 1
2 3 4 5 6 7
8 9 10
copyright reserved
BRIT, TEXAS
cm
SMU
PLANTS OF TEXAS
HERBARIUM OF SOUTH PLAINS COLLEGE
Morus microphylla Buckl.
Rare in protected side canyons of South Prong
Cany on in Caprock Cany on State Park.
IMAGED
BRISCOE COUNTY
BOTANICAL RESEARCH INSTITUTE
OF TEXAS
20 FEB 2017
J. L. Blassingame 4288
7 Oct. 1978
BRIT374594
Mor
24ÇolorCard
TM
Camera Crax.com
","['ВОТANICAL', 'RESEARCH', 'INSTITUTE', 'OF', '0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', 'copyright', 'reserved', 'BRIT', ',', 'TEXAS', 'cm', 'SMU', 'PLANTS', 'OF', 'TEXAS', 'HERBARIUM', 'OF', 'SOUTH', 'PLAINS', 'COLLEGE', 'Morus', 'microphylla', 'Buckl', '.', 'Rare', 'in', 'protected', 'side', 'canyons', 'of', 'South', 'Prong', 'Cany', 'on', 'in', 'Caprock', 'Cany', 'on', 'State', 'Park', '.', 'IMAGED', 'BRISCOE', 'COUNTY', 'BOTANICAL', 'RESEARCH', 'INSTITUTE', 'OF', 'TEXAS', '20', 'FEB', '2017', 'J.', 'L.', 'Blassingame', '4288', '7', 'Oct.', '1978', 'BRIT374594', 'Mor', '24ÇolorCard', 'TM', 'Camera', 'Crax.com']",BRIT374594,75,31,35,0.4666666666666667
4,BRIT447461_370-symbiota_data_26832701_ocr.txt,"BOTANICAL
RESEARCH
INSTITUTE OF
1 2 3 4 5
6 7
8 9
10
cm
copyright reserved
BRIT. TEXAS
SMU
HERBARIUM
Agricultural and Mechanical College of Texas
Department of Biology
cerrappo
Asclepas cunanoncel.
CMS. ASIKIIS2
Scientific Name...
Common Name...
Family..
Habitat.3 f. shr.m.b.in Sm.nd.y.s.t.en.
.b.ed.. Elemee.r.o.
.senters..
w.hite.. ith.
y.e.low.
Y.e.llows.
.Eleo.S0.ett
.8. mi. E.
IMAGED
Locality.A.C.,
City
j2.m.l.c.o.Guex.r.ere.y
Mexieo.
County
State
Collector.P..Mockterd- CM. Rewel
Date of Collection.u.m.e.22.!952.
.No..2.75 3..
BOTANICAL RESEARCH INSTITUTE
OF TEXAS
08 APR 2019
BRIT447461
24ColorCard
TM
Lamera Crax.com
","['BOTANICAL', 'RESEARCH', 'INSTITUTE', 'OF', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', 'cm', 'copyright', 'reserved', 'BRIT', '.', 'TEXAS', 'SMU', 'HERBARIUM', 'Agricultural', 'and', 'Mechanical', 'College', 'of', 'Texas', 'Department', 'of', 'Biology', 'cerrappo', 'Asclepas', 'cunanoncel', '.', 'CMS', '.', 'ASIKIIS2', 'Scientific', 'Name', '...', 'Common', 'Name', '...', 'Family..', 'Habitat.3', 'f.', 'shr.m.b.in', 'Sm.nd.y.s.t.en', '.', '.b.ed..', 'Elemee.r.o', '.', '.senters..', 'w.hite..', 'ith', '.', 'y.e.low', '.', 'Y.e.llows', '.', '.Eleo.S0.ett', '.8.', 'mi', '.', 'E.', 'IMAGED', 'Locality.A.C.', ',', 'City', 'j2.m.l.c.o.Guex.r.ere.y', 'Mexieo', '.', 'County', 'State', 'Collector.P..Mockterd-', 'CM', '.', 'Rewel', 'Date', 'of', 'Collection.u.m.e.22.', '!', '952', '.', '.No..2.75', '3..', 'BOTANICAL', 'RESEARCH', 'INSTITUTE', 'OF', 'TEXAS', '08', 'APR', '2019', 'BRIT447461', '24ColorCard', 'TM', 'Lamera', 'Crax.com']",BRIT447461,100,30,30,0.3
5,BRIT335362_370-symbiota_data_14247497_ocr.txt,"BOTANICAL
0 1
2 3 4 5 6 7
RESEARCH
INSTITUTE OF
8 9
copyright reserved
10
cm
BRIT, TEXAS
HERBARIUM
Southerg Methodist University
DALLAS, TEXAS
Thy mophy|la
Dyssodia
tenuiloba (DC.) Rob.
var. tenuiloba
1967
John L. Strother
The University of Texas
beysiodia tiuuilohal (AC)lalaneon
marshalll Clohnalon /954
2.
PLANTS OF TEXAS
HERBARIUM OF SOUTHERN METHODIST UNIVERSITY
Dyssodia Wrightii (A. Gray) Robinson
IMAGED
Medina Co.: 3 miles w. of Castroville.
10 AUG 2016
In thin soil over limestone, frequent.
Rəys deep yellow.
BOTANICAL RESEARCH INSTITUTE
OF TEXAS
LLOYD H. SHINNERS
7294
April 19, 1945
BRIT335362
222
24ColorCard
TM
Lamera Crax.com
","['BOTANICAL', '0', '1', '2', '3', '4', '5', '6', '7', 'RESEARCH', 'INSTITUTE', 'OF', '8', '9', 'copyright', 'reserved', '10', 'cm', 'BRIT', ',', 'TEXAS', 'HERBARIUM', 'Southerg', 'Methodist', 'University', 'DALLAS', ',', 'TEXAS', 'Thy', 'mophy|la', 'Dyssodia', 'tenuiloba', '(', 'DC', '.', ')', 'Rob', '.', 'var', '.', 'tenuiloba', '1967', 'John', 'L.', 'Strother', 'The', 'University', 'of', 'Texas', 'beysiodia', 'tiuuilohal', '(', 'AC', ')', 'lalaneon', 'marshalll', 'Clohnalon', '/954', '2', '.', 'PLANTS', 'OF', 'TEXAS', 'HERBARIUM', 'OF', 'SOUTHERN', 'METHODIST', 'UNIVERSITY', 'Dyssodia', 'Wrightii', '(', 'A', '.', 'Gray', ')', 'Robinson', 'IMAGED', 'Medina', 'Co.', ':', '3', 'miles', 'w.', 'of', 'Castroville', '.', '10', 'AUG', '2016', 'In', 'thin', 'soil', 'over', 'limestone', ',', 'frequent', '.', 'Rəys', 'deep', 'yellow', '.', 'BOTANICAL', 'RESEARCH', 'INSTITUTE', 'OF', 'TEXAS', 'LLOYD', 'H.', 'SHINNERS', '7294', 'April', '19', ',', '1945', 'BRIT335362', '222', '24ColorCard', 'TM', 'Lamera', 'Crax.com']",BRIT335362,120,36,39,0.325
6,BRIT314293_370-symbiota_data_14237485_ocr.txt,"BOTANICAL
RESEARCH
1 2
3
4 5 6
7 8
10
INSTITUTE OF
copyright reserved
BRIT, TEXAS
cm
SMU
Enupadenun selidaqnujhi
26 -*-196/
qray
PLANTS OF TRANS-PECOS TEXAS
Brewster
COUNTY
IMAGED
Brickellia
20 JUN 2016
Infrequent shrub in igneous soil at base of Baldy (Bailey)
Peak; Basin of Chisos Mountains; Big Bend Nat. Park.
Alt. 4900
feet.
BOTANICAL RESEARCH INSTITUTE
OF TEXAS
BARTON 4. WARNOCK
woh 6 auna
BRIT314293
No. 9598
DATE
September 6, 1950
24ColorCard
TM
ameraTrax.com
","['BOTANICAL', 'RESEARCH', '1', '2', '3', '4', '5', '6', '7', '8', '10', 'INSTITUTE', 'OF', 'copyright', 'reserved', 'BRIT', ',', 'TEXAS', 'cm', 'SMU', 'Enupadenun', 'selidaqnujhi', '26', '-*-196/', 'qray', 'PLANTS', 'OF', 'TRANS-PECOS', 'TEXAS', 'Brewster', 'COUNTY', 'IMAGED', 'Brickellia', '20', 'JUN', '2016', 'Infrequent', 'shrub', 'in', 'igneous', 'soil', 'at', 'base', 'of', 'Baldy', '(', 'Bailey', ')', 'Peak', ';', 'Basin', 'of', 'Chisos', 'Mountains', ';', 'Big', 'Bend', 'Nat', '.', 'Park', '.', 'Alt', '.', '4900', 'feet', '.', 'BOTANICAL', 'RESEARCH', 'INSTITUTE', 'OF', 'TEXAS', 'BARTON', '4', '.', 'WARNOCK', 'woh', '6', 'auna', 'BRIT314293', 'No', '.', '9598', 'DATE', 'September', '6', ',', '1950', '24ColorCard', 'TM', 'ameraTrax.com']",BRIT314293,90,35,37,0.4111111111111111
7,BRIT483355_370-symbiota_data_26809673_ocr.txt,"ВОТANICAL
RESEARCH
INSTITUTE OF
0 1 2 3 4 5 6 7 8 9
10
copyright reserved
BRIT, TEXAS
cm
Botanical Research
Institute of Texas
S.M. TRACY HERBARIUM (TAES), TEXAS A & M UNIVERSITY
CYPERACEAE
TEXAS
Matagorda County
Eleocharis cellulosa Torr.
West roadside of Oyster Lake Road, ca. 4.9 km S of
EM 1095, E of the town of Collegeport. Locally
common and forming large stands n hydric
roadside ditches with Leersia hexandra, Cyperus
articulatus, Eleocharis sp.., Schoenoplectus
californicus, Panicum hemitomon, and Triadica
IMAGED
sebifera.
01 SEP 2017
BOTANICAL RESEARCH INSTITUTE
OF TEXAS
GPS - N28° 42' 41.5"" W96° 09' 47.1"" (NAD83)
D.J. Rosen 3979
02 November, 2006
BRIT483355
24ColorCard
TM
LameraCrax.com
","['ВОТANICAL', 'RESEARCH', 'INSTITUTE', 'OF', '0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', 'copyright', 'reserved', 'BRIT', ',', 'TEXAS', 'cm', 'Botanical', 'Research', 'Institute', 'of', 'Texas', 'S.M', '.', 'TRACY', 'HERBARIUM', '(', 'TAES', ')', ',', 'TEXAS', 'A', '&', 'M', 'UNIVERSITY', 'CYPERACEAE', 'TEXAS', 'Matagorda', 'County', 'Eleocharis', 'cellulosa', 'Torr', '.', 'West', 'roadside', 'of', 'Oyster', 'Lake', 'Road', ',', 'ca', '.', '4.9', 'km', 'S', 'of', 'EM', '1095', ',', 'E', 'of', 'the', 'town', 'of', 'Collegeport', '.', 'Locally', 'common', 'and', 'forming', 'large', 'stands', 'n', 'hydric', 'roadside', 'ditches', 'with', 'Leersia', 'hexandra', ',', 'Cyperus', 'articulatus', ',', 'Eleocharis', 'sp..', ',', 'Schoenoplectus', 'californicus', ',', 'Panicum', 'hemitomon', ',', 'and', 'Triadica', 'IMAGED', 'sebifera', '.', '01', 'SEP', '2017', 'BOTANICAL', 'RESEARCH', 'INSTITUTE', 'OF', 'TEXAS', 'GPS', '-', 'N28°', '42', ""'"", '41.5', ""''"", 'W96°', '09', ""'"", '47.1', ""''"", '(', 'NAD83', ')', 'D.J', '.', 'Rosen', '3979', '02', 'November', ',', '2006', 'BRIT483355', '24ColorCard', 'TM', 'LameraCrax.com']",BRIT483355,136,44,47,0.34558823529411764
8,BRIT391322_370-symbiota_data_26786095_ocr.txt,"BOTANICAL
RESEARCH
INSTITUTE OF
0 1 2
3 4 5 6
7
8 9
10
cm
copyright reserved
BRIT, TEXAS
SMU
Plants of the Texas Panhandle
Panicum dichotomiflorum Michx.
Occasional, clay loam banks of Tierra
Blanca Creek, south of Dawn.
IMAGED
25OCT 2017
DEAF SMITH COUNTY
BOTANICAL RESEARCH INSTITUTE
OF TEXAS
Floyd R. Waller, Jr. 1129
August 21, l1966
BRIT391322
24ColorCard
TM
CameraCrax.com
","['BOTANICAL', 'RESEARCH', 'INSTITUTE', 'OF', '0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', 'cm', 'copyright', 'reserved', 'BRIT', ',', 'TEXAS', 'SMU', 'Plants', 'of', 'the', 'Texas', 'Panhandle', 'Panicum', 'dichotomiflorum', 'Michx', '.', 'Occasional', ',', 'clay', 'loam', 'banks', 'of', 'Tierra', 'Blanca', 'Creek', ',', 'south', 'of', 'Dawn', '.', 'IMAGED', '25OCT', '2017', 'DEAF', 'SMITH', 'COUNTY', 'BOTANICAL', 'RESEARCH', 'INSTITUTE', 'OF', 'TEXAS', 'Floyd', 'R.', 'Waller', ',', 'Jr.', '1129', 'August', '21', ',', 'l1966', 'BRIT391322', '24ColorCard', 'TM', 'CameraCrax.com']",BRIT391322,70,28,30,0.42857142857142855
9,BRIT336455_370-symbiota_data_14262029_ocr.txt,"ΒΟΤΑΝCAL
RESEARCH
INSTITUTE OF
1 2 3 4 5 6 7 8 9
10
copyright reserved
BRIT, TEXAS
cm
Botanical Research
Institute of Texas
Amarand
PLANTS OF HAGERMAN NATIONAL WILDLIFE
REFUGE
Botanical Research Institute of Texas
Amaranthus tamariscinus Nutt.
Growing along embankment at edge of Lake
Texad
Texoma on auto tour route.
GRAYSON COUNTY: 3.4 mi SW of park hdq bldg.;
take first right after passing Big Mineral Picnic
IMAGED
BOTANICAL RESEARCH INSTITUTE
OF TEXAS
Area.
26 AUG 2016
Katherine T. Boylan 401.
23 Sept 1990
SMU & BRIT Herbaria
BRIT336455
TM
Camera Crax.com
","['ΒΟΤΑΝCAL', 'RESEARCH', 'INSTITUTE', 'OF', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', 'copyright', 'reserved', 'BRIT', ',', 'TEXAS', 'cm', 'Botanical', 'Research', 'Institute', 'of', 'Texas', 'Amarand', 'PLANTS', 'OF', 'HAGERMAN', 'NATIONAL', 'WILDLIFE', 'REFUGE', 'Botanical', 'Research', 'Institute', 'of', 'Texas', 'Amaranthus', 'tamariscinus', 'Nutt', '.', 'Growing', 'along', 'embankment', 'at', 'edge', 'of', 'Lake', 'Texad', 'Texoma', 'on', 'auto', 'tour', 'route', '.', 'GRAYSON', 'COUNTY', ':', '3.4', 'mi', 'SW', 'of', 'park', 'hdq', 'bldg', '.', ';', 'take', 'first', 'right', 'after', 'passing', 'Big', 'Mineral', 'Picnic', 'IMAGED', 'BOTANICAL', 'RESEARCH', 'INSTITUTE', 'OF', 'TEXAS', 'Area', '.', '26', 'AUG', '2016', 'Katherine', 'T.', 'Boylan', '401', '.', '23', 'Sept', '1990', 'SMU', '&', 'BRIT', 'Herbaria', 'BRIT336455', 'TM', 'Camera', 'Crax.com']",BRIT336455,102,50,51,0.5
10,BRIT520936_370-symbiota_data_26833832_ocr.txt,"BOTANICAL
RESEARCH
INSTITUTE OF
0 1 2 3 4 5 6
8 9 10
copyright reserved
cm
BRIT, TEXAS
VDB
PLANTS OF MISS ISS IPPI
Collected by Delzie Demaree
IMAGED
Pearl River
COUNTY OF.
31 DEC 2019
Carya aquat ica (Michx.f.)Nutt.
Low wet are as.
Р. О.
Poplarville.
BOTANICAL RESEARCH INSTITUTE
OF TEXAS
Elevation Ft.
Date 10-126-1962. No.
46910.
BRIT520936
24ColorCard
TM
Lamera Crax.com
","['BOTANICAL', 'RESEARCH', 'INSTITUTE', 'OF', '0', '1', '2', '3', '4', '5', '6', '8', '9', '10', 'copyright', 'reserved', 'cm', 'BRIT', ',', 'TEXAS', 'VDB', 'PLANTS', 'OF', 'MISS', 'ISS', 'IPPI', 'Collected', 'by', 'Delzie', 'Demaree', 'IMAGED', 'Pearl', 'River', 'COUNTY', 'OF', '.', '31', 'DEC', '2019', 'Carya', 'aquat', 'ica', '(', 'Michx.f.', ')', 'Nutt', '.', 'Low', 'wet', 'are', 'as', '.', 'Р.', 'О.', 'Poplarville', '.', 'BOTANICAL', 'RESEARCH', 'INSTITUTE', 'OF', 'TEXAS', 'Elevation', 'Ft', '.', 'Date', '10-126-1962', '.', 'No', '.', '46910', '.', 'BRIT520936', '24ColorCard', 'TM', 'Lamera', 'Crax.com']",BRIT520936,76,26,27,0.35526315789473684
11,BRIT385405_370-symbiota_data_26821717_ocr.txt,"BOTANICAL
RESEARCH
INSTITUTE OF
1 2 3 4 5 6 7 8 9 10
cm
copyright reserved
BRIT, TEXAS
HERBARIUM
Southern Methodist University
DALLAS, TEXAS
1966
Monographic Studies in Martyniaceae
Proboscidea louisianica (Mill.) Thell.
ssp. louisianica
det: Raúl Gutiérrez, 2007
Arizona State University (ASU) Herbarium
Proboscidea louisianica (Mill.) Thell.
Det. by R.H. Hevly
May 18, 1966
MANUAL OF THE VASCULAR PLANTS OF TEXAS
Prohascidea lousianica
(Nill) Thell.
1966
DETERMINED BY DONOVAN S. CORRELL
PLANTS OF TEXAS
260
HERBARIUM OF LAREDO JUNIOR COLLEGE
Martynia lousianica Miller
IMAGED
Webb Co., Del Mar Addition, Lar edo.
11 APR 2017
In sandy loam.
2 November 1962
BOTANICAL RESEARCH INSTITUTE
OF TEXAS
Maria de Jesus Solis, 5
BRIT385405
24GolorCard
TM
Camera Crax.com
","['BOTANICAL', 'RESEARCH', 'INSTITUTE', 'OF', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', 'cm', 'copyright', 'reserved', 'BRIT', ',', 'TEXAS', 'HERBARIUM', 'Southern', 'Methodist', 'University', 'DALLAS', ',', 'TEXAS', '1966', 'Monographic', 'Studies', 'in', 'Martyniaceae', 'Proboscidea', 'louisianica', '(', 'Mill', '.', ')', 'Thell', '.', 'ssp', '.', 'louisianica', 'det', ':', 'Raúl', 'Gutiérrez', ',', '2007', 'Arizona', 'State', 'University', '(', 'ASU', ')', 'Herbarium', 'Proboscidea', 'louisianica', '(', 'Mill', '.', ')', 'Thell', '.', 'Det', '.', 'by', 'R.H.', 'Hevly', 'May', '18', ',', '1966', 'MANUAL', 'OF', 'THE', 'VASCULAR', 'PLANTS', 'OF', 'TEXAS', 'Prohascidea', 'lousianica', '(', 'Nill', ')', 'Thell', '.', '1966', 'DETERMINED', 'BY', 'DONOVAN', 'S.', 'CORRELL', 'PLANTS', 'OF', 'TEXAS', '260', 'HERBARIUM', 'OF', 'LAREDO', 'JUNIOR', 'COLLEGE', 'Martynia', 'lousianica', 'Miller', 'IMAGED', 'Webb', 'Co.', ',', 'Del', 'Mar', 'Addition', ',', 'Lar', 'edo', '.', '11', 'APR', '2017', 'In', 'sandy', 'loam', '.', '2', 'November', '1962', 'BOTANICAL', 'RESEARCH', 'INSTITUTE', 'OF', 'TEXAS', 'Maria', 'de', 'Jesus', 'Solis', ',', '5', 'BRIT385405', '24GolorCard', 'TM', 'Camera', 'Crax.com']",BRIT385405,142,46,49,0.34507042253521125
12,BRIT406637_370-symbiota_data_26801216_ocr.txt,"BOTANICAL
RESEARCH
INSTITUTE OF
1 2
3 4
5 6 7 8 9
10
cm
copyright reserved
BRIT, TEXAS
HERBARIUM
Southern Methodist University
DALLAS, TEXAS
IMAGED
19 SEP 2017
UNIVERSITY OF TEXAS HERBARIUM (LL,TEX)
Sisyrinchium helleri Bicknell
Det. G. Nesom, 1995
PLANTS OF TEXAS
HERBARIUM OF SOUTHERN METHODIST UNIVERSITY
Sisyrinchium
Perianth blue, yellow eye-spot.
Aransas Co.: near cemetery at Rockport;
sandy prairie.
BOTANICAL RESEARCH INSTITUTE
OF TEXAS
Sisyrinchium pruinosum Bicknell
Determined by
Missouri BotanicaI Garden
Royce Oliver
1968
EULA WHITEHOUSE
18327
April 28, l947
BRIT406637
24ColorCard
TM
CameraTrax.com
","['BOTANICAL', 'RESEARCH', 'INSTITUTE', 'OF', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', 'cm', 'copyright', 'reserved', 'BRIT', ',', 'TEXAS', 'HERBARIUM', 'Southern', 'Methodist', 'University', 'DALLAS', ',', 'TEXAS', 'IMAGED', '19', 'SEP', '2017', 'UNIVERSITY', 'OF', 'TEXAS', 'HERBARIUM', '(', 'LL', ',', 'TEX', ')', 'Sisyrinchium', 'helleri', 'Bicknell', 'Det', '.', 'G.', 'Nesom', ',', '1995', 'PLANTS', 'OF', 'TEXAS', 'HERBARIUM', 'OF', 'SOUTHERN', 'METHODIST', 'UNIVERSITY', 'Sisyrinchium', 'Perianth', 'blue', ',', 'yellow', 'eye-spot', '.', 'Aransas', 'Co.', ':', 'near', 'cemetery', 'at', 'Rockport', ';', 'sandy', 'prairie', '.', 'BOTANICAL', 'RESEARCH', 'INSTITUTE', 'OF', 'TEXAS', 'Sisyrinchium', 'pruinosum', 'Bicknell', 'Determined', 'by', 'Missouri', 'BotanicaI', 'Garden', 'Royce', 'Oliver', '1968', 'EULA', 'WHITEHOUSE', '18327', 'April', '28', ',', 'l947', 'BRIT406637', '24ColorCard', 'TM', 'CameraTrax.com']",BRIT406637,102,39,40,0.39215686274509803
13,BRIT543878_370-symbiota_data_25199973_ocr.txt,"BOTANICAL
RESEARCH
INSTITUTE OF
0 1 2 3 4 5 6
7 8 9
10
cm
copyright.reserved
BRIT. TEXAS
SMU
Plants of the Oklahoma Ozarks
Eclipta alba (L.) Hassk
IMAGED
10 MAR 2020
Open roadside ditch in Keyough
Bottoms 2 mi. N. of Ft. Gibson.
BOTANICAL RESEARCH INSTITUTE
OF TEXAS
Cherokee County
IX/7/57
BRIT543878
Charles S. Wallis
5393
24ColorCard
TM
Camera Crax.com
","['BOTANICAL', 'RESEARCH', 'INSTITUTE', 'OF', '0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', 'cm', 'copyright.reserved', 'BRIT', '.', 'TEXAS', 'SMU', 'Plants', 'of', 'the', 'Oklahoma', 'Ozarks', 'Eclipta', 'alba', '(', 'L.', ')', 'Hassk', 'IMAGED', '10', 'MAR', '2020', 'Open', 'roadside', 'ditch', 'in', 'Keyough', 'Bottoms', '2', 'mi', '.', 'N.', 'of', 'Ft.', 'Gibson', '.', 'BOTANICAL', 'RESEARCH', 'INSTITUTE', 'OF', 'TEXAS', 'Cherokee', 'County', 'IX/7/57', 'BRIT543878', 'Charles', 'S.', 'Wallis', '5393', '24ColorCard', 'TM', 'Camera', 'Crax.com']",BRIT543878,67,21,23,0.34328358208955223
