,filename,text,tokens,catalog_number,token_count,dictionary_word_count,dict_word_or_stem_count,dict_word_or_stem_ratio
0,BRIT373370_370-symbiota_data_14262918_ocr_tesseract.txt,"3] BoTANICAL
| RESEARCH

1 INSTITUTE OF

 

 
 
  
 

a

B

 

,

wi0g"" v4 > V42uUT0

:
|

IMAGED
07 OCT 2016

RESEARCH INSTITUTE
OTANICAL RESFEXAS

wiih mu

BRI

‘HERBARIUM
southern Methodist University

DALLAS, TEXAS

  

Bernardia obovata I.M. Johnst.
Barron S. Rector July, 1974

Plants of Brewster County, Texas
’

Bernardia obovata
Buphorbiaceae |

B yap Wildlife Management Area
anny osx ite is Seis coe ree an f
approx. $> miles &. SH. of Maratuon.

Occasional shrubs to 3 2b. tela. Rocky
imestone hillsides adjacent to Frog
- Date 6 Aug. 1956 e

Chester M. Rowell, Jr. No. 5134

A 24ColorCard

  
 
","['3', ']', 'BoTANICAL', '|', 'RESEARCH', '1', 'INSTITUTE', 'OF', 'a', 'B', ',', 'wi0g', ""''"", 'v4', '>', 'V42uUT0', ':', '|', 'IMAGED', '07', 'OCT', '2016', 'RESEARCH', 'INSTITUTE', 'OTANICAL', 'RESFEXAS', 'wiih', 'mu', 'BRI', '‘', 'HERBARIUM', 'southern', 'Methodist', 'University', 'DALLAS', ',', 'TEXAS', 'Bernardia', 'obovata', 'I.M', '.', 'Johnst', '.', 'Barron', 'S.', 'Rector', 'July', ',', '1974', 'Plants', 'of', 'Brewster', 'County', ',', 'Texas', '’', 'Bernardia', 'obovata', 'Buphorbiaceae', '|', 'B', 'yap', 'Wildlife', 'Management', 'Area', 'anny', 'osx', 'ite', 'is', 'Seis', 'coe', 'ree', 'an', 'f', 'approx', '.', '$', '>', 'miles', '&', '.', 'SH', '.', 'of', 'Maratuon', '.', 'Occasional', 'shrubs', 'to', '3', '2b', '.', 'tela', '.', 'Rocky', 'imestone', 'hillsides', 'adjacent', 'to', 'Frog', '-', 'Date', '6', 'Aug.', '1956', 'e', 'Chester', 'M.', 'Rowell', ',', 'Jr.', 'No', '.', '5134', 'A', '24ColorCard']",BRIT373370,116,40,44,0.3793103448275862
1,BRIT309933_370-symbiota_data_14241888_ocr_tesseract.txt,"BOTANICAL
RESEARCH
d INSTITUTE OF
eee. TEXAS_

{

24ColorCard

Ee

)
s
3
i
°
3

 

HERBARIUM
Southern Methodist University
DALLAS. TEXAS

Studies in Astereae

Heterotheca villosa (Pursh) Shinners
var. angustifolia (Rydb.) Harms

G.L. Nesom 2003
Botanical Research Institute of Texas

Heterotheca villosa (Pursh)
Shinners

 

Det. V. L. Harms July 1963

REANTS OF TMXAs. ee

A Mirvespbojll / IMAGED Missour! BOTANICAL GARDEN.
13 JUN 2016

Brelbinr, ee Nale CG. BOTANICAL RESEARCH INSTITUTE
a 0 |

   
  

4
2, ase eh cie renee Rage alae

    
","['BOTANICAL', 'RESEARCH', 'd', 'INSTITUTE', 'OF', 'eee', '.', 'TEXAS_', '{', '24ColorCard', 'Ee', ')', 's', '3', 'i', '°', '3', 'HERBARIUM', 'Southern', 'Methodist', 'University', 'DALLAS', '.', 'TEXAS', 'Studies', 'in', 'Astereae', 'Heterotheca', 'villosa', '(', 'Pursh', ')', 'Shinners', 'var', '.', 'angustifolia', '(', 'Rydb', '.', ')', 'Harms', 'G.L', '.', 'Nesom', '2003', 'Botanical', 'Research', 'Institute', 'of', 'Texas', 'Heterotheca', 'villosa', '(', 'Pursh', ')', 'Shinners', 'Det', '.', 'V.', 'L.', 'Harms', 'July', '1963', 'REANTS', 'OF', 'TMXAs', '.', 'ee', 'A', 'Mirvespbojll', '/', 'IMAGED', 'Missour', '!', 'BOTANICAL', 'GARDEN', '.', '13', 'JUN', '2016', 'Brelbinr', ',', 'ee', 'Nale', 'CG', '.', 'BOTANICAL', 'RESEARCH', 'INSTITUTE', 'a', '0', '|', '4', '2', ',', 'ase', 'eh', 'cie', 'renee', 'Rage', 'alae']",BRIT309933,101,27,32,0.31683168316831684
2,BRIT293549_370-symbiota_data_24837019_ocr_tesseract.txt,"j BOTANICAL
4, RESEARCH
10 » INSTITUTE OF

copyright reserved

24ColorCard

TT oe oo Sa | See tine]

 

Var prolifer. A

Arlington State College Herbarium
Arlington, Texas

Voucher No:
Family: Card DMmaceane

Name: Fj \ aAQ9 prolifera
IMAG E [) Floral Features:

Collection Site:

BOTANICAL RESEARCH va | Tee
MCT se

Coll Iii liqy, We \63) Date:

   
","['j', 'BOTANICAL', '4', ',', 'RESEARCH', '10', '»', 'INSTITUTE', 'OF', 'copyright', 'reserved', '24ColorCard', 'TT', 'oe', 'oo', 'Sa', '|', 'See', 'tine', ']', 'Var', 'prolifer', '.', 'A', 'Arlington', 'State', 'College', 'Herbarium', 'Arlington', ',', 'Texas', 'Voucher', 'No', ':', 'Family', ':', 'Card', 'DMmaceane', 'Name', ':', 'Fj', '\\', 'aAQ9', 'prolifera', 'IMAG', 'E', '[', ')', 'Floral', 'Features', ':', 'Collection', 'Site', ':', 'BOTANICAL', 'RESEARCH', 'va', '|', 'Tee', 'MCT', 'se', 'Coll', 'Iii', 'liqy', ',', 'We', '\\63', ')', 'Date', ':']",BRIT293549,70,31,31,0.44285714285714284
3,BRIT37979_370-symbiota_data_26778089_ocr_tesseract.txt,"i
|

 
   
  
   
  

 
  

V@N| BoTANICAL
RESEARCH
| INstTITUTE OF

7 3] S 10 my
copyright reserved §BRITMBa Cx

 

TT 0 oe See Remee S tae) !
LAPS 5.

Botanical Research Institute of Texas

A pend cele
. E A. Lee Yacee.

 
     
   
   

 
  
   
   
  

  

—

PHILIPPINE PLANT INVENTORY PPT
Flora of the Philippines Joint Project = ne Philippine
useum, Manila and B. R. I. T.

RN

 
       
      
    

 

A
Ne L ‘Supported By: NSF. /USAID
} é D.A. Madulid, P.N.M. S.H. Sohmer, B.R.L.T.
ti
L]
COLL.: Pipoly, Romero, et. al. PPI No.: 38313
ISL.: Palawan DATE: 22/08/96

PROV.: Palawan
LOC.: Sumindap river, Brgy. Bundog, Municipality of

Quezon
ALT.: 250m LAT.: 09°02.0’N LONG.: 117°48.0°E
HAB.: Tributary of Kinlugan river

 

 
    
  
 

IMAGED
06 JUN 2618 a

SOIL: Lateritic soil
PL.DESC.: Terrestrial

     
  
    

Perian

th green
BOTANICAL RESEARCH INSTITUTE VEG.: ‘Swamp forest
FAM.: Orchidaceae DUR 2

genoconyalreseraicefececcon — MMARUNIAN ao

    
   
     
      
 
","['i', '|', 'V', '@', 'N|', 'BoTANICAL', 'RESEARCH', '|', 'INstTITUTE', 'OF', '7', '3', ']', 'S', '10', 'my', 'copyright', 'reserved', '§BRITMBa', 'Cx', 'TT', '0', 'oe', 'See', 'Remee', 'S', 'tae', ')', '!', 'LAPS', '5', '.', 'Botanical', 'Research', 'Institute', 'of', 'Texas', 'A', 'pend', 'cele', '.', 'E', 'A.', 'Lee', 'Yacee', '.', '—', 'PHILIPPINE', 'PLANT', 'INVENTORY', 'PPT', 'Flora', 'of', 'the', 'Philippines', 'Joint', 'Project', '=', 'ne', 'Philippine', 'useum', ',', 'Manila', 'and', 'B.', 'R.', 'I.', 'T.', 'RN', 'A', 'Ne', 'L', '‘', 'Supported', 'By', ':', 'NSF', '.', '/USAID', '}', 'é', 'D.A', '.', 'Madulid', ',', 'P.N.M', '.', 'S.H', '.', 'Sohmer', ',', 'B.R.L.T', '.', 'ti', 'L', ']', 'COLL', '.', ':', 'Pipoly', ',', 'Romero', ',', 'et', '.', 'al', '.', 'PPI', 'No', '.', ':', '38313', 'ISL', '.', ':', 'Palawan', 'DATE', ':', '22/08/96', 'PROV', '.', ':', 'Palawan', 'LOC', '.', ':', 'Sumindap', 'river', ',', 'Brgy', '.', 'Bundog', ',', 'Municipality', 'of', 'Quezon', 'ALT', '.', ':', '250m', 'LAT', '.', ':', '09°02.0', '’', 'N', 'LONG', '.', ':', '117°48.0°E', 'HAB', '.', ':', 'Tributary', 'of', 'Kinlugan', 'river', 'IMAGED', '06', 'JUN', '2618', 'a', 'SOIL', ':', 'Lateritic', 'soil', 'PL.DESC', '.', ':', 'Terrestrial', 'Perian', 'th', 'green', 'BOTANICAL', 'RESEARCH', 'INSTITUTE', 'VEG', '.', ':', '‘', 'Swamp', 'forest', 'FAM', '.', ':', 'Orchidaceae', 'DUR', '2', 'genoconyalreseraicefececcon', '—', 'MMARUNIAN', 'ao']",BRIT37979,192,65,67,0.3489583333333333
4,BRIT528228_370-symbiota_data_24935638_ocr_tesseract.txt,"oe ee
copyright reserved

:

Y BOTANICAL
RESEARCH
INSTITUTE OF

BRITMOUDENS

oo Se Bee tae)
AES 25

;

IMAGED
19 FEB 2020

BOTANICAL Bored INSTITUTE

A

Fela

Botanical Rese:
institute of Tevas

Seen in preparation of
Cephalanthus for the Flora of North America

Cephalanthus occidentalis L. var. occidentalis

det. K. Hines & A. Krings 2010 (NCSC)

0S S09 SOSOSOO SO]

TEXAS TECHNOLOGICAL COLLEGE
AGRONOMY HERBARIUM
Rubiaceae
Genus and Species: Ceophalan
Common Name: Common Button: Bush
Location: Jack CO., Tex
Site. Bottomland, Reddish

""

Associated Plants: sUercus

 

 

| 24ColorCard

 
","['oe', 'ee', 'copyright', 'reserved', ':', 'Y', 'BOTANICAL', 'RESEARCH', 'INSTITUTE', 'OF', 'BRITMOUDENS', 'oo', 'Se', 'Bee', 'tae', ')', 'AES', '25', ';', 'IMAGED', '19', 'FEB', '2020', 'BOTANICAL', 'Bored', 'INSTITUTE', 'A', 'Fela', 'Botanical', 'Rese', ':', 'institute', 'of', 'Tevas', 'Seen', 'in', 'preparation', 'of', 'Cephalanthus', 'for', 'the', 'Flora', 'of', 'North', 'America', 'Cephalanthus', 'occidentalis', 'L.', 'var', '.', 'occidentalis', 'det', '.', 'K.', 'Hines', '&', 'A.', 'Krings', '2010', '(', 'NCSC', ')', '0S', 'S09', 'SOSOSOO', 'SO', ']', 'TEXAS', 'TECHNOLOGICAL', 'COLLEGE', 'AGRONOMY', 'HERBARIUM', 'Rubiaceae', 'Genus', 'and', 'Species', ':', 'Ceophalan', 'Common', 'Name', ':', 'Common', 'Button', ':', 'Bush', 'Location', ':', 'Jack', 'CO.', ',', 'Tex', 'Site', '.', 'Bottomland', ',', 'Reddish', ""''"", 'Associated', 'Plants', ':', 'sUercus', '|', '24ColorCard']",BRIT528228,103,45,47,0.4563106796116505
5,BRIT371896_370-symbiota_data_24851915_ocr_tesseract.txt,"ae S|) BoTANICAL
ae ae ee oe
RESEARCH

Ke) m 5 6 7 fs) .S] INSTITUTE OF
dL eee

24ColorCard

woo’ 0+ v43u60

 

patentee ""Research
Institute of Texas

 

\

i

TEXAS PARKS AND WILDLIFE DEPARTMENT
FORT PARKER STATE PARK

 

FAMILY : Con Vol Vulacicad
HABITAT: _ ieee

  

Date:
LOCATION: Hwy 14 & Pk. Rd @G,Limestone Co.,Tx

COLLECTORS: J.Singhurst, L.Jones, & K. Blair

Voucher#

IMAGED an me
03 OCT 2016 | sf.

BOTANICAL ie INSTITUTE 2.

wl oo

BRIT371

   
","['ae', 'S|', ')', 'BoTANICAL', 'ae', 'ae', 'ee', 'oe', 'RESEARCH', 'Ke', ')', 'm', '5', '6', '7', 'fs', ')', '.S', ']', 'INSTITUTE', 'OF', 'dL', 'eee', '24ColorCard', 'woo', '’', '0+', 'v43u60', 'patentee', '``', 'Research', 'Institute', 'of', 'Texas', '\\', 'i', 'TEXAS', 'PARKS', 'AND', 'WILDLIFE', 'DEPARTMENT', 'FORT', 'PARKER', 'STATE', 'PARK', 'FAMILY', ':', 'Con', 'Vol', 'Vulacicad', 'HABITAT', ':', '_', 'ieee', 'Date', ':', 'LOCATION', ':', 'Hwy', '14', '&', 'Pk', '.', 'Rd', '@', 'G', ',', 'Limestone', 'Co.', ',', 'Tx', 'COLLECTORS', ':', 'J.Singhurst', ',', 'L.Jones', ',', '&', 'K.', 'Blair', 'Voucher', '#', 'IMAGED', 'an', 'me', '03', 'OCT', '2016', '|', 'sf', '.', 'BOTANICAL', 'ie', 'INSTITUTE', '2.', 'wl', 'oo', 'BRIT371']",BRIT371896,98,37,39,0.3979591836734694
6,BRIT372492_370-symbiota_data_26785220_ocr_tesseract.txt,"J BoTANICAL
RESEARCH —
eee | | LNSTITUTE oF [ee

_ copyright reserved [BRITS

PLANTS OF TEXAS
HERBARIUM OF cg ees UNIVERSITY
Cyrilla racemiflora L.
NEWTON CO.: ca. 9.5 mi. s.e. of Kirbyville,

ca, .2 Mi. @.on Mwy. 67,28
pipeline crossing; grasslake.

BOTANICAL RESEARCH INSTITUTE IMAGEL.

Mn i 00 8 um oe

 
","['J', 'BoTANICAL', 'RESEARCH', '—', 'eee', '|', '|', 'LNSTITUTE', 'oF', '[', 'ee', '_', 'copyright', 'reserved', '[', 'BRITS', 'PLANTS', 'OF', 'TEXAS', 'HERBARIUM', 'OF', 'cg', 'ees', 'UNIVERSITY', 'Cyrilla', 'racemiflora', 'L.', 'NEWTON', 'CO.', ':', 'ca', '.', '9.5', 'mi', '.', 's.e', '.', 'of', 'Kirbyville', ',', 'ca', ',', '.2', 'Mi', '.', '@', '.on', 'Mwy', '.', '67,28', 'pipeline', 'crossing', ';', 'grasslake', '.', 'BOTANICAL', 'RESEARCH', 'INSTITUTE', 'IMAGEL', '.', 'Mn', 'i', '00', '8', 'um', 'oe']",BRIT372492,66,24,26,0.3939393939393939
7,BRIT333592_370-symbiota_data_14245587_ocr_tesseract.txt,"Mea a ose costae

& 24ColorCard

' copyright reserved

 
 
   

Botanical Research
institute of Texas

 

ath laaatenrtenineatatiatinain atten ttte ani:
a

 

   

Aster ericoides = Symphyg

¢

ANTS OF TEXAS

richum ericoides May 2009

   

San Jag&ito County. Open calcareous streamside, app. 400
metg#s S of the end of FM 135.

| M AGED BOTANICAL RESEARCH INSTITUTE ns oe _

Tn)
03 AUG 2016 | WT |

   
","['Mea', 'a', 'ose', 'costae', '&', '24ColorCard', ""'"", 'copyright', 'reserved', 'Botanical', 'Research', 'institute', 'of', 'Texas', 'ath', 'laaatenrtenineatatiatinain', 'atten', 'ttte', 'ani', ':', 'a', 'Aster', 'ericoides', '=', 'Symphyg', '¢', 'ANTS', 'OF', 'TEXAS', 'richum', 'ericoides', 'May', '2009', 'San', 'Jag', '&', 'ito', 'County', '.', 'Open', 'calcareous', 'streamside', ',', 'app', '.', '400', 'metg', '#', 's', 'S', 'of', 'the', 'end', 'of', 'FM', '135', '.', '|', 'M', 'AGED', 'BOTANICAL', 'RESEARCH', 'INSTITUTE', 'ns', 'oe', '_', 'Tn', ')', '03', 'AUG', '2016', '|', 'WT', '|']",BRIT333592,74,31,35,0.47297297297297297
8,BRIT319341_370-symbiota_data_14238534_ocr_tesseract.txt," 

ee ae ae ee

 

BOTANICAL
RESEARCH

7 10 INSTITUTE OF
copyright reserved

es
24ColorCard

TT To5e es cep eee ea) :
!

LIEBE DDAD III ha
MERBARIUT

Southern Methedist U

 

DALLAS, TEXAS

    
   

ANNOTATION LABEL

Liatris source Onc he te Kee Z

DONALD A. LEVIN Tec 6

From the
HERBARIUM OF McMURRY COLLEGE
Abilene, Texas

PLANTS OF TEXAS

IMAGED COUNTY: CALLAHAN DATE: Sept..2a, 196.

24 JUN 2016 Liatris punctata Hook.
BOTANICAL RESEARCH INSTITUTE Sandy she one ee 2 15
| wine
UTIL MUN M00 nice
aman No. 63-1769 Det. NCH
","['ee', 'ae', 'ae', 'ee', 'BOTANICAL', 'RESEARCH', '7', '10', 'INSTITUTE', 'OF', 'copyright', 'reserved', 'es', '24ColorCard', 'TT', 'To5e', 'es', 'cep', 'eee', 'ea', ')', ':', '!', 'LIEBE', 'DDAD', 'III', 'ha', 'MERBARIUT', 'Southern', 'Methedist', 'U', 'DALLAS', ',', 'TEXAS', 'ANNOTATION', 'LABEL', 'Liatris', 'source', 'Onc', 'he', 'te', 'Kee', 'Z', 'DONALD', 'A.', 'LEVIN', 'Tec', '6', 'From', 'the', 'HERBARIUM', 'OF', 'McMURRY', 'COLLEGE', 'Abilene', ',', 'Texas', 'PLANTS', 'OF', 'TEXAS', 'IMAGED', 'COUNTY', ':', 'CALLAHAN', 'DATE', ':', 'Sept..2a', ',', '196', '.', '24', 'JUN', '2016', 'Liatris', 'punctata', 'Hook', '.', 'BOTANICAL', 'RESEARCH', 'INSTITUTE', 'Sandy', 'she', 'one', 'ee', '2', '15', '|', 'wine', 'UTIL', 'MUN', 'M00', 'nice', 'aman', 'No', '.', '63-1769', 'Det', '.', 'NCH']",BRIT319341,99,42,43,0.43434343434343436
9,BRIT455770_370-symbiota_data_16473832_ocr_tesseract.txt,"ri

&

) BoTANICAL
_
10 | INstrruTE OF

_copyright reserved

 

IMAGED
01 AUG 20;

BOTANICAL ce INSTITUTE

TNT

wio7"" v4 0-12u00

=
:
|

LAPS

FROM THE COLLECTION OF
JOHN & CONNIE TAYLOR

FAMILY VERBENACEAE
PLANTS OF TEXAS
HERBARIUM OF THE MORTON ARBORETUM

Col. No. 6474 Liberty Co.

Callicarpa americana L.

Tri inity Rg bone | 0.5 mi # of Romayor along AT & SF RR by

dd wes

obtiell wek weelie ie
e river, _ omland woods wi

wei ewe 2 ede A

us : The
Olmus rubra Acer negundo, Quercus nigra, Celtis,
ee % eras nas

Eat’ = o 7 ia 2 =

. Shrub, 1 ‘n tall, locally common, open area near
234 eyaeensane 137 en

near base, green fruits turning lilac to violet.

Hess & N. Stoynoff Aug. 10, 1989

 

Institute a

24ColorCard

  

   

 

 
","['ri', '&', ')', 'BoTANICAL', '_', '10', '|', 'INstrruTE', 'OF', '_copyright', 'reserved', 'IMAGED', '01', 'AUG', '20', ';', 'BOTANICAL', 'ce', 'INSTITUTE', 'TNT', 'wio7', ""''"", 'v4', '0-12u00', '=', ':', '|', 'LAPS', 'FROM', 'THE', 'COLLECTION', 'OF', 'JOHN', '&', 'CONNIE', 'TAYLOR', 'FAMILY', 'VERBENACEAE', 'PLANTS', 'OF', 'TEXAS', 'HERBARIUM', 'OF', 'THE', 'MORTON', 'ARBORETUM', 'Col.', 'No', '.', '6474', 'Liberty', 'Co.', 'Callicarpa', 'americana', 'L.', 'Tri', 'inity', 'Rg', 'bone', '|', '0.5', 'mi', '#', 'of', 'Romayor', 'along', 'AT', '&', 'SF', 'RR', 'by', 'dd', 'wes', 'obtiell', 'wek', 'weelie', 'ie', 'e', 'river', ',', '_', 'omland', 'woods', 'wi', 'wei', 'ewe', '2', 'ede', 'A', 'us', ':', 'The', 'Olmus', 'rubra', 'Acer', 'negundo', ',', 'Quercus', 'nigra', ',', 'Celtis', ',', 'ee', '%', 'eras', 'nas', 'Eat', '’', '=', 'o', '7', 'ia', '2', '=', '.', 'Shrub', ',', '1', '‘', 'n', 'tall', ',', 'locally', 'common', ',', 'open', 'area', 'near', '234', 'eyaeensane', '137', 'en', 'near', 'base', ',', 'green', 'fruits', 'turning', 'lilac', 'to', 'violet', '.', 'Hess', '&', 'N.', 'Stoynoff', 'Aug.', '10', ',', '1989', 'Institute', 'a', '24ColorCard']",BRIT455770,153,53,58,0.3790849673202614
10,BRIT50491_370-symbiota_data_19520949_ocr_tesseract.txt,"BOTANICAL
RESEARCH
) INSTITUTE OF

‘24ColorCard

/ wio7"" 04-4 042u960

copyright reserved

 

Botanical Research
Institute of Texas

  

Botanical Research Institute of Texas

 

Cyperus acuminatus Torr. & Hook

Cyperaceae
Det. by R. J. O'Kennon, BRIT

| MAG be D United States of America, Texas, Mason County. Castell Crossing. RR 152 at Pluenneke Crk. DD
Lat: 30.6412 DD Long: -99.0591 Elev.: 398m.

¢ & 947

3 1 AUG 20 if Local Name: Taper-Tip Flat Sedge.

R. J. O'Kennon 9289

  

BOTANICAL RESEARCH INSTITUTE

nM

  

13 Aug 1991
","['BOTANICAL', 'RESEARCH', ')', 'INSTITUTE', 'OF', '‘', '24ColorCard', '/', 'wio7', ""''"", '04-4', '042u960', 'copyright', 'reserved', 'Botanical', 'Research', 'Institute', 'of', 'Texas', 'Botanical', 'Research', 'Institute', 'of', 'Texas', 'Cyperus', 'acuminatus', 'Torr', '.', '&', 'Hook', 'Cyperaceae', 'Det', '.', 'by', 'R.', 'J.', ""O'Kennon"", ',', 'BRIT', '|', 'MAG', 'be', 'D', 'United', 'States', 'of', 'America', ',', 'Texas', ',', 'Mason', 'County', '.', 'Castell', 'Crossing', '.', 'RR', '152', 'at', 'Pluenneke', 'Crk', '.', 'DD', 'Lat', ':', '30.6412', 'DD', 'Long', ':', '-99.0591', 'Elev', '.', ':', '398m', '.', '¢', '&', '947', '3', '1', 'AUG', '20', 'if', 'Local', 'Name', ':', 'Taper-Tip', 'Flat', 'Sedge', '.', 'R.', 'J.', ""O'Kennon"", '9289', 'BOTANICAL', 'RESEARCH', 'INSTITUTE', 'nM', '13', 'Aug', '1991']",BRIT50491,101,36,37,0.36633663366336633
11,BRIT02272_370-symbiota_data_14266701_ocr_tesseract.txt," 

 

BOTANICAL
RESEARCH
7 is] 9 10 INSTITUTE OF

copyright reserved

ie
2 |

TT oss aoe tee Beamon enna)

cr

       
   
     
 
   
    

UnirTep States Nationa HERBARIUM

Acanthaceae FOR THE FLORA OF TEXAS

Dyschoriste linearis (Torr. & Gray) O. Ktze.

DIETER C, WASSHAUSEN 1965

PLANTS OF TEXAS

HERBARIUM OF SOUTHERN METHODIST UNIVERSITY
Flora of Texas

Dyschoriste schiedeana var. cinerescens
Henrickson & Hilsenbeck Dyschoriste

~

5 G. NESOM, 2001 - BRIT Foliage gray; corolla lavender, throat with
white markings, tube yellow within,

Brewster Co.: 19 miles east of Marathon;

rocky soil.
IMAGED BOTANICAL RESEARCH INSTITUTE ee

ae OF TEXAS
eee MWg) fou Wamensoms 18640 May 8, 1947
","['BOTANICAL', 'RESEARCH', '7', 'is', ']', '9', '10', 'INSTITUTE', 'OF', 'copyright', 'reserved', 'ie', '2', '|', 'TT', 'oss', 'aoe', 'tee', 'Beamon', 'enna', ')', 'cr', 'UnirTep', 'States', 'Nationa', 'HERBARIUM', 'Acanthaceae', 'FOR', 'THE', 'FLORA', 'OF', 'TEXAS', 'Dyschoriste', 'linearis', '(', 'Torr', '.', '&', 'Gray', ')', 'O.', 'Ktze', '.', 'DIETER', 'C', ',', 'WASSHAUSEN', '1965', 'PLANTS', 'OF', 'TEXAS', 'HERBARIUM', 'OF', 'SOUTHERN', 'METHODIST', 'UNIVERSITY', 'Flora', 'of', 'Texas', 'Dyschoriste', 'schiedeana', 'var', '.', 'cinerescens', 'Henrickson', '&', 'Hilsenbeck', 'Dyschoriste', '~', '5', 'G.', 'NESOM', ',', '2001', '-', 'BRIT', 'Foliage', 'gray', ';', 'corolla', 'lavender', ',', 'throat', 'with', 'white', 'markings', ',', 'tube', 'yellow', 'within', ',', 'Brewster', 'Co.', ':', '19', 'miles', 'east', 'of', 'Marathon', ';', 'rocky', 'soil', '.', 'IMAGED', 'BOTANICAL', 'RESEARCH', 'INSTITUTE', 'ee', 'ae', 'OF', 'TEXAS', 'eee', 'MWg', ')', 'fou', 'Wamensoms', '18640', 'May', '8', ',', '1947']",BRIT02272,121,49,53,0.4380165289256198
12,BRIT449655_370-symbiota_data_24927421_ocr_tesseract.txt,"copyright reserved

 

 

>

BOTANICAL
RESEARCH
INSTITUTE OF

1

wo7' 04-4 042600
eS

   

IMAGED
29 JUN 2017

BOTANICAL Huo INSTITUTE

nN

HERBARIUM
southern Methodist Universite
DALLAS, TEXAS

PLANTS OF TEXAS

 

HERBARIUM OF SOUTHERN METHODIST UNIVERSITY

Diodia teres Walt.

Nacogdoches Coe: Nacogdoches.

Sandy soil, end of Durst St.

Hs Es Francis Auge 3, 1950
O. A. Warnick

—

4 24ColorCard

  
","['copyright', 'reserved', '>', 'BOTANICAL', 'RESEARCH', 'INSTITUTE', 'OF', '1', 'wo7', ""'"", '04-4', '042600', 'eS', 'IMAGED', '29', 'JUN', '2017', 'BOTANICAL', 'Huo', 'INSTITUTE', 'nN', 'HERBARIUM', 'southern', 'Methodist', 'Universite', 'DALLAS', ',', 'TEXAS', 'PLANTS', 'OF', 'TEXAS', 'HERBARIUM', 'OF', 'SOUTHERN', 'METHODIST', 'UNIVERSITY', 'Diodia', 'teres', 'Walt', '.', 'Nacogdoches', 'Coe', ':', 'Nacogdoches', '.', 'Sandy', 'soil', ',', 'end', 'of', 'Durst', 'St.', 'Hs', 'Es', 'Francis', 'Auge', '3', ',', '1950', 'O', '.', 'A.', 'Warnick', '—', '4', '24ColorCard']",BRIT449655,66,28,29,0.4393939393939394
13,BRIT352579_370-symbiota_data_24840112_ocr_tesseract.txt,"ee ft 8 8 AG
om a copyright reserved

Yi) RESEARCH
INSTITUTE OF

BOTANICAL

x | v42uT0

wio9""o-+
ee

 

IMAGED
28 OCT 2016

BOTANICAL RESEARCH INSTITUTE

nu

i 24ColorCard

 

HERBARIUM
Southern Methodist University
DALLAS TEXAS

 

(
Hoffmanseggia drepanocarpa A. Gray
IMRE J. EIFERT 1976 THE UNIVERSITY OF TEXAS HERBARIUM

PLANTS OF THE SOUTHWEST
Culberson County +oxas
No. 85 ° :

Hoffmanseggia drepanocarpa Gray

a few plants scattered in the gand
on Highway 80 about 12 mi. e. Van Horn.

Date June 13, 1949 Alt.,000 fect =

Coll. L. C. Hinckley and Leon Hinckley

 
","['ee', 'ft', '8', '8', 'AG', 'om', 'a', 'copyright', 'reserved', 'Yi', ')', 'RESEARCH', 'INSTITUTE', 'OF', 'BOTANICAL', 'x', '|', 'v42uT0', 'wio9', ""''"", 'o-+', 'ee', 'IMAGED', '28', 'OCT', '2016', 'BOTANICAL', 'RESEARCH', 'INSTITUTE', 'nu', 'i', '24ColorCard', 'HERBARIUM', 'Southern', 'Methodist', 'University', 'DALLAS', 'TEXAS', '(', 'Hoffmanseggia', 'drepanocarpa', 'A', '.', 'Gray', 'IMRE', 'J.', 'EIFERT', '1976', 'THE', 'UNIVERSITY', 'OF', 'TEXAS', 'HERBARIUM', 'PLANTS', 'OF', 'THE', 'SOUTHWEST', 'Culberson', 'County', '+oxas', 'No', '.', '85', '°', ':', 'Hoffmanseggia', 'drepanocarpa', 'Gray', 'a', 'few', 'plants', 'scattered', 'in', 'the', 'gand', 'on', 'Highway', '80', 'about', '12', 'mi', '.', 'e.', 'Van', 'Horn', '.', 'Date', 'June', '13', ',', '1949', 'Alt.,000', 'fect', '=', 'Coll', '.', 'L.', 'C.', 'Hinckley', 'and', 'Leon', 'Hinckley']",BRIT352579,102,45,47,0.46078431372549017
